Country,Density (P/Km2),Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Co2-Emissions,CPI,Fertility Rate,Forested Area (%),GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Population,Population: Labor force participation (%),Tax revenue (%),Unemployment rate,Urban_population,Latitude,Longitude
Niger,19,36.10%,"1,267,000","10,000",46.08,"2,017",109.32,6.91,0.90%,"$12,928,145,120 ",74.70%,4.40%,48.0,62.0,"23,310,715",72.00%,11.80%,0.47%,"3,850,231",17.607789,8.081666
Nigeria,226,77.70%,"923,768","215,000",37.91,"120,369",267.51,5.39,7.20%,"$448,120,428,859 ",84.70%,10.20%,75.7,54.3,"200,963,599",52.90%,1.50%,8.10%,"102,806,948",9.081999,8.675277
North Korea,214,21.80%,"120,538","1,469,000",13.89,"28,284",,1.9,40.70%,"$32,100,000,000 ",112.80%,27.00%,13.7,72.1,"25,666,161",80.40%,,2.74%,"15,947,412",40.339852,127.510093
North Macedonia,83,,"25,713",,,,,,,"$10,220,781,069 ",,,,,"1,836,713",,,,,41.608635,21.745275
Norway,15,2.70%,"323,802","23,000",10.4,"41,023",120.27,1.56,33.20%,"$403,336,363,636 ",100.30%,82.00%,2.1,82.8,"5,347,896",63.80%,23.90%,3.35%,"4,418,218",60.472024,8.468946
Oman,16,4.60%,"309,500","47,000",19.19,"63,457",113.53,2.89,0.00%,"$76,983,094,928 ",103.40%,38.00%,9.8,77.6,"5,266,535",72.40%,2.50%,2.67%,"4,250,777",21.4735329,55.975413
Pakistan,287,47.80%,"796,095","936,000",28.25,"201,150",182.32,3.51,1.90%,"$304,400,000,000 ",94.30%,9.00%,57.2,67.1,"216,565,318",52.60%,9.20%,4.45%,"79,927,762",30.375321,69.345116
Palau,39,10.90%,459,,14.0,224,118.17,2.21,87.60%,"$283,994,900 ",112.60%,54.70%,16.6,69.1,"18,233",,21.30%,,"14,491",7.51498,134.58252
Palestinian National Authority,847,,,,,,,,,,,,,,,,,,,31.952162,35.233154
Panama,58,30.40%,"75,420","26,000",18.98,"10,715",122.07,2.46,61.90%,"$66,800,800,000 ",94.40%,47.80%,13.1,78.3,"4,246,439",66.60%,,3.90%,"2,890,084",8.537981,-80.782127
Papua New Guinea,20,2.60%,"462,840","4,000",27.07,"7,536",155.99,3.56,74.10%,"$24,969,611,435 ",108.50%,1.80%,38.0,64.3,"8,776,109",47.20%,13.60%,2.46%,"1,162,834",-6.314993,143.95555
Paraguay,18,55.10%,"406,752","27,000",20.57,"7,407",143.82,2.43,37.70%,"$38,145,288,940 ",104.40%,34.60%,17.2,74.1,"7,044,636",72.10%,10.00%,4.81%,"4,359,150",-23.442503,-58.443832
Peru,26,18.50%,"1,285,216","158,000",17.95,"57,414",129.78,2.25,57.70%,"$226,848,050,820 ",106.90%,70.70%,11.1,76.5,"32,510,453",77.60%,14.30%,3.31%,"25,390,339",-9.189967,-75.015152
Philippines,368,41.70%,"300,000","153,000",20.55,"122,287",129.61,2.58,27.80%,"$376,795,508,680 ",107.50%,35.50%,22.5,71.1,"108,116,615",59.60%,14.00%,2.15%,"50,975,903",12.879721,121.774017
Poland,124,46.90%,"312,685","191,000",10.2,"299,037",114.11,1.46,30.90%,"$592,164,400,688 ",100.00%,67.80%,3.8,77.6,"37,970,874",56.70%,17.40%,3.47%,"22,796,574",51.919438,19.145136
Portugal,111,39.50%,"92,212","52,000",8.5,"48,742",110.62,1.38,34.60%,"$237,686,075,635 ",106.20%,63.90%,3.1,81.3,"10,269,417",58.80%,22.80%,6.33%,"6,753,579",39.399872,-8.224454
Qatar,248,5.80%,"11,586","22,000",9.54,"103,259",115.38,1.87,0.00%,"$183,466,208,791 ",103.80%,17.90%,5.8,80.1,"2,832,067",86.80%,14.70%,0.09%,"2,809,071",25.354826,51.183884
Romania,84,58.80%,"238,391","126,000",9.6,"69,259",123.78,1.71,30.10%,"$250,077,444,017 ",85.20%,49.40%,6.1,75.4,"19,356,544",54.70%,14.60%,3.98%,"10,468,793",45.943161,24.96676
Russia,9,13.30%,"17,098,240","1,454,000",11.5,"1,732,027",180.75,1.57,49.80%,"$1,699,876,578,871 ",102.60%,81.90%,6.1,72.7,"144,373,535",61.80%,11.40%,4.59%,"107,683,889",61.52401,105.318756
Rwanda,525,73.40%,"26,338","35,000",31.7,"1,115",151.09,4.04,19.70%,"$10,122,472,590 ",133.00%,6.70%,27.0,68.7,"12,626,950",83.70%,14.30%,1.03%,"2,186,104",-1.940278,29.873888
Saint Kitts and Nevis,205,23.10%,261,,12.6,238,104.57,2.11,42.30%,"$1,050,992,593 ",108.70%,86.70%,9.8,71.3,"52,823",,18.50%,,"16,269",17.357822,-62.782998
Saint Lucia,301,17.40%,616,,12.0,414,110.13,1.44,33.20%,"$2,122,450,630 ",102.60%,14.10%,14.9,76.1,"182,790",67.10%,18.20%,20.71%,"34,280",13.909444,-60.978893
Saint Vincent and the Grenadines,284,25.60%,389,,14.24,220,109.67,1.89,69.20%,"$825,385,185 ",113.40%,23.70%,14.8,72.4,"100,455",65.90%,25.40%,18.88%,"58,185",12.984305,-61.287228
Samoa,70,12.40%,"2,831",,24.38,246,117.56,3.88,60.40%,"$850,655,017 ",110.50%,7.60%,13.6,73.2,"202,506",43.70%,25.50%,8.36%,"35,588",-13.759029,-172.104629
San Marino,566,16.70%,61,,6.8,,110.63,1.26,0.00%,"$1,637,931,034 ",108.10%,42.50%,1.7,85.4,"33,860",,18.10%,,"32,969",43.94236,12.457777
S�����������,228,50.70%,964,"1,000",31.54,121,185.09,4.32,55.80%,"$429,016,605 ",106.80%,13.40%,24.4,70.2,"215,056",57.80%,14.60%,13.37%,"158,277",,
Saudi Arabia,16,80.80%,"2,149,690","252,000",17.8,"563,449",118.4,2.32,0.50%,"$792,966,838,162 ",99.80%,68.00%,6.0,75.0,"34,268,528",55.90%,8.90%,5.93%,"28,807,838",23.885942,45.079162
Senegal,87,46.10%,"196,722","19,000",34.52,"10,902",109.25,4.63,42.80%,"$23,578,084,052 ",81.00%,12.80%,31.8,67.7,"16,296,364",45.70%,16.30%,6.60%,"7,765,706",14.497401,-14.452362
Serbia,100,39.30%,"77,474","32,000",9.2,"45,221",144,1.49,31.10%,"$51,409,167,351 ",100.30%,67.20%,4.8,75.5,"6,944,975",54.90%,18.60%,12.69%,"3,907,243",44.016521,21.005859
Seychelles,214,3.40%,455,0,17.1,605,129.96,2.41,88.40%,"$1,698,843,063 ",100.40%,17.10%,12.4,72.8,"97,625",,34.10%,,"55,762",-4.679574,55.491977
Sierra Leone,111,54.70%,"71,740","9,000",33.41,"1,093",234.16,4.26,43.10%,"$3,941,474,311 ",112.80%,2.00%,78.5,54.3,"7,813,215",57.90%,8.60%,4.43%,"3,319,366",8.460555,-11.779889
Singapore,"8,358",0.90%,716,"81,000",8.8,"37,535",114.41,1.14,23.10%,"$372,062,527,489 ",100.60%,84.80%,2.3,83.1,"5,703,569",70.50%,13.10%,4.11%,"5,703,569",1.352083,103.819836
Slovakia,114,39.20%,"49,035","16,000",10.6,"32,424",115.34,1.52,40.40%,"$105,422,304,976 ",98.70%,46.60%,4.6,77.2,"5,454,073",59.50%,18.70%,5.56%,"2,930,419",48.669026,19.699024
Slovenia,103,30.70%,"20,273","7,000",9.4,"12,633",111.05,1.6,62.00%,"$53,742,159,517 ",100.40%,78.60%,1.7,81.0,"2,087,946",58.40%,18.60%,4.20%,"1,144,654",46.151241,14.995463
Solomon Islands,25,3.90%,"28,896",,32.44,169,133.06,4.4,77.90%,"$1,425,074,226 ",106.20%,,17.1,72.8,"669,823",83.80%,29.50%,0.58%,"162,164",-9.64571,160.156194
Somalia,25,70.30%,"637,657","20,000",41.75,645,,6.07,10.00%,"$4,720,727,278 ",23.40%,2.50%,76.6,57.1,"15,442,905",47.40%,0.00%,11.35%,"7,034,861",5.152149,46.199616
South Africa,49,79.80%,"1,219,090","80,000",20.51,"476,644",158.93,2.41,7.60%,"$351,431,649,241 ",100.90%,22.40%,28.5,63.9,"58,558,270",56.00%,27.50%,28.18%,"39,149,717",-30.559482,22.937506
South Korea,527,17.40%,"99,720","634,000",6.4,"620,302",115.16,0.98,63.40%,"$2,029,000,000,000 ",98.10%,94.30%,2.7,82.6,"51,709,098",63.00%,15.60%,4.15%,"42,106,719",35.907757,127.766922
South Sudan,18,,"644,329","185,000",35.01,"1,727","4,583.71",4.7,,"$11,997,800,751 ",73.00%,,63.7,57.6,"11,062,113",72.40%,,12.24%,"2,201,250",6.8769919,31.3069788
Spain,94,52.60%,"505,370","196,000",7.9,"244,002",110.96,1.26,36.90%,"$1,394,116,310,769 ",102.70%,88.90%,2.5,83.3,"47,076,781",57.50%,14.20%,13.96%,"37,927,409",40.463667,-3.74922
Sri Lanka,341,43.70%,"65,610","317,000",15.83,"23,362",155.53,2.2,32.90%,"$84,008,783,756 ",100.20%,19.60%,6.4,76.8,"21,803,000",53.90%,11.90%,4.20%,"4,052,088",7.873054,80.771797
Sudan,25,28.70%,"1,861,484","124,000",32.18,"20,000","1,344.19",4.41,8.10%,"$18,902,284,476 ",76.80%,16.90%,42.1,65.1,"42,813,238",48.40%,8.00%,16.53%,"14,957,233",12.862807,30.217636
Suriname,4,0.60%,"163,820","2,000",18.54,"1,738",294.66,2.42,98.30%,"$3,985,250,737 ",108.80%,12.60%,16.9,71.6,"581,372",51.10%,19.50%,7.33%,"384,258",3.919305,-56.027783
Sweden,25,7.40%,"450,295","30,000",11.4,"43,252",110.51,1.76,68.90%,"$530,832,908,738 ",126.60%,67.00%,2.2,82.5,"10,285,453",64.60%,27.90%,6.48%,"9,021,165",60.128161,18.643501
Switzerland,219,38.40%,"41,277","21,000",10.0,"34,477",99.55,1.52,31.80%,"$703,082,435,360 ",105.20%,59.60%,3.7,83.6,"8,574,832",68.30%,10.10%,4.58%,"6,332,428",46.818188,8.227512
Syria,95,75.80%,"185,180","239,000",23.69,"28,830",143.2,2.81,2.70%,"$40,405,006,007 ",81.70%,40.10%,14.0,71.8,"17,070,135",44.10%,14.20%,8.37%,"9,358,019",34.802075,38.996815
Tajikistan,68,34.10%,"144,100","17,000",30.76,"5,310",148.57,3.59,3.00%,"$8,116,626,794 ",100.90%,31.30%,30.4,70.9,"9,321,018",42.00%,9.80%,11.02%,"2,545,477",38.861034,71.276093
Tanzania,67,44.80%,"947,300","28,000",36.7,"11,973",187.43,4.89,51.60%,"$63,177,068,175 ",94.20%,4.00%,37.6,65.0,"58,005,463",83.40%,11.50%,1.98%,"20,011,885",-6.369028,34.888822
Thailand,137,43.30%,"513,120","455,000",10.34,"283,763",113.27,1.53,32.20%,"$543,649,976,166 ",99.80%,49.30%,7.8,76.9,"69,625,582",67.30%,14.90%,0.75%,"35,294,600",15.870032,100.992541
East Timor,89,25.60%,"14,874","2,000",29.42,495,145.38,4.02,45.40%,"$1,673,540,300 ",115.30%,17.80%,39.3,69.3,"3,500,000",67.30%,25.00%,4.55%,"400,182",-8.874217,125.727539
Togo,152,70.20%,"56,785","10,000",33.11,"3,000",113.3,4.32,3.10%,"$5,459,979,417 ",123.80%,14.50%,47.4,60.8,"8,082,366",77.60%,16.90%,2.04%,"3,414,638",8.619543,0.824782
Tonga,147,45.80%,747,,24.3,128,121.09,3.56,12.50%,"$450,353,314 ",116.30%,6.40%,13.4,70.8,"100,209",59.80%,22.30%,1.12%,"24,145",-21.178986,-175.198242
Trinidad and Tobago,273,10.50%,"5,128","4,000",12.94,"43,868",141.75,1.73,46.00%,"$24,100,202,834 ",106.20%,12.00%,16.4,73.4,"1,394,973",60.00%,19.50%,2.69%,"741,944",10.691803,-61.222503
Tunisia,76,64.80%,"163,610","48,000",17.56,"29,937",155.33,2.2,6.80%,"$38,797,709,924 ",115.40%,31.70%,14.6,76.5,"11,694,719",46.10%,21.10%,16.02%,"8,099,061",33.886917,9.537499
Turkey,110,49.80%,"783,562","512,000",16.03,"372,725",234.44,2.07,15.40%,"$754,411,708,203 ",93.20%,23.90%,9.1,77.4,"83,429,615",52.80%,17.90%,13.49%,"63,097,818",38.963745,35.243322
Turkmenistan,13,72.00%,"488,100","42,000",23.83,"70,630",,2.79,8.80%,"$40,761,142,857 ",88.40%,8.00%,39.3,68.1,"5,942,089",64.50%,,3.91%,"3,092,738",38.969719,59.556278
Tuvalu,393,60.00%,26,,,11,,,33.30%,"$47,271,463 ",86.00%,,20.6,,"11,646",,,,"7,362",-7.109535,177.64933
Uganda,229,71.90%,"241,038","46,000",38.14,"5,680",173.87,4.96,9.70%,"$34,387,229,486 ",102.70%,4.80%,33.8,63.0,"44,269,594",70.30%,11.70%,1.84%,"10,784,516",1.373333,32.290275
Ukraine,75,71.70%,"603,550","297,000",8.7,"202,250",281.66,1.3,16.70%,"$153,781,069,118 ",99.00%,82.70%,7.5,71.6,"44,385,155",54.20%,20.10%,8.88%,"30,835,699",48.379433,31.16558
United Arab Emirates,118,5.50%,"83,600","63,000",10.33,"206,324",114.52,1.41,4.60%,"$421,142,267,938 ",108.40%,36.80%,6.5,77.8,"9,770,529",82.10%,0.10%,2.35%,"8,479,744",23.424076,53.847818
United Kingdom,281,71.70%,"243,610","148,000",11.0,"379,025",119.62,1.68,13.10%,"$2,827,113,184,696 ",101.20%,60.00%,3.6,81.3,"66,834,405",62.80%,25.50%,3.85%,"55,908,316",55.378051,-3.435973
United States,36,44.40%,"9,833,517","1,359,000",11.6,"5,006,302",117.24,1.73,33.90%,"$21,427,700,000,000 ",101.80%,88.20%,5.6,78.5,"328,239,523",62.00%,9.60%,14.70%,"270,663,028",37.09024,-95.712891
Uruguay,20,82.60%,"176,215","22,000",13.86,"6,766",202.92,1.97,10.70%,"$56,045,912,952 ",108.50%,63.10%,6.4,77.8,"3,461,734",64.00%,20.10%,8.73%,"3,303,394",-32.522779,-55.765835
Uzbekistan,79,62.90%,"447,400","68,000",23.3,"91,811",,2.42,7.50%,"$57,921,286,440 ",104.20%,10.10%,19.1,71.6,"33,580,650",65.10%,14.80%,5.92%,"16,935,729",41.377491,64.585262
Vanuatu,25,15.30%,"12,189",,29.6,147,117.13,3.78,36.10%,"$917,058,851 ",109.30%,4.70%,22.3,70.3,"299,882",69.90%,17.80%,4.39%,"76,152",-15.376706,166.959158
Venezuela,32,24.50%,"912,050","343,000",17.88,"164,175","2,740.27",2.27,52.70%,"$482,359,318,768 ",97.20%,79.30%,21.4,72.1,"28,515,829",59.70%,,8.80%,"25,162,368",6.42375,-66.58973
Vietnam,314,39.30%,"331,210","522,000",16.75,"192,668",163.52,2.05,48.10%,"$261,921,244,843 ",110.60%,28.50%,16.5,75.3,"96,462,106",77.40%,19.10%,2.01%,"35,332,140",14.058324,108.277199
Yemen,56,44.60%,"527,968","40,000",30.45,"10,609",157.58,3.79,1.00%,"$26,914,402,224 ",93.60%,10.20%,42.9,66.1,"29,161,922",38.00%,,12.91%,"10,869,523",15.552727,48.516388
Zambia,25,32.10%,"752,618","16,000",36.19,"5,141",212.31,4.63,65.20%,"$23,064,722,446 ",98.70%,4.10%,40.4,63.5,"17,861,030",74.60%,16.20%,11.43%,"7,871,713",-13.133897,27.849332
Zimbabwe,38,41.90%,"390,757","51,000",30.68,"10,983",105.51,3.62,35.50%,"$21,440,758,800 ",109.90%,10.00%,33.9,61.2,"14,645,468",83.10%,20.70%,4.95%,"4,717,305",-19.015438,29.154857
